chrom	start	end	dln_median	dsn_median
chr1	17667187	18667187	0.651698533794769	0.7305911692475
chr1	27191096	28191096	0.672440207482031	0.724456207812
chr1	36839466	37839466	0.622295751146018	0.570142655269
chr1	112557969	113557969	0.615798384885175	0.5309913120045
chr1	219135773	220135773	0.382181717352227	0.1755980966665
chr1	228420486	229420486	0.521695432792271	0.534021794192
chr1	238409047	239409047	0.308993281240892	0.1783570012935
chr15	35748836	36748836	0.540171037867398	0.461893508792
chr15	51128406	52128406	0.593114535169027	0.517879725401
chr15	60726855	61726855	0.62614874569227	0.476162686495
chr15	69581838	70581838	0.664969984534148	0.631129453019
chr15	77616367	78616367	0.64141436942205	0.606119007741
chr15	85801972	86801972	0.538710256580747	0.6278097472
chr17	15869658	16869658	0.560201797417238	0.641995095331
chr17	41458445	42458445	0.731972383680747	0.808924793655
chr17	75324722	76324722	0.7	0.772495212435
chr18	5056605	6056605	0.548163884629638	0.420628998845
chr18	9887098	10887098	0.552668875693841	0.433146494607
chr18	33536236	34536236	0.548310114494084	0.348138754202
chr18	36992398	37992398	0.531023959818017	0.281912542195
chr18	39567464	40567464	0.499118875527404	0.257793681012
chr19	4758529	5758529	0.7	0.81381848033
chr19	8574253	9574253	0.665061827419758	0.826407126586
chr19	13775870	14775870	0.675129866756442	0.83212959184
chr19	42164231	43164231	0.743917509312835	0.8213890057275
chr19	45830133	46830133	0.697827333136124	0.8265378796545
chr21	14992868	15992868	0.537750122441742	0.388854228442
chr21	18513988	19513988	0.44774082380544	0.458901210456
chr21	23151136	24151136	0.480806459359604	0.423932669808
chr21	25951141	26951141	0.495391690590998	0.441655830479
chr21	29379715	30379715	0.49651450172684	0.468844588805
chr21	33016146	34016146	0.631484422650588	0.554526251636
chr21	36868296	37868296	0.619202697465284	0.52694690212
chr21	40950333	41950333	0.600556451289344	0.4905395084485
chr22:9	18616326	19616326	0.747658826228394	0.519280835474
chr22:9	22919692	23919692	0.755357241610785	0.75608111286
chr4	82085423	83085423	0.378032651272006	0.2315514591465
chr4	89807411	90807411	0.472583201717956	0.274054633007
chr4	156167824	157167824	0.388116397635409	0.151725357272
chr4	163596175	164596175	0.370034418996044	0.15636408325
chr4	173945065	174945065	0.330595378429567	0.139617178315
chr7	18204169	19204169	0.509134698521686	0.2205870928005
chr7	27485217	28485217	0.586814898322325	0.3882726962145
chr7	36989027	37989027	0.454545454545454	0.4012867532
chr7	130730482	131730482	0.468572837852439	0.344013343577
chr7	140419884	141419884	0.443945420455967	0.346512737548
chr7	149527665	150527665	0.391399408794876	0.32257805018
chr8	12177594	13177594	0.384483973595971	0.288247763874
chr8	21131310	22131310	0.451091582481404	0.37249210258
chr8	29925747	30925747	0.472295563112213	0.3912371107615
chr8	57402135	58402135	0.384499877989256	0.303011700485
chr8	66568670	67568670	0.461263858636909	0.285121307
chr8	72012178	73012178	0.408496407793379	0.273247855865
chr8	112567764	113567764	0.377322626907118	0.185109711398
chr8	121135600	122135600	0.357421890775859	0.1850156954
chr8	130200760	131200760	0.42180019915456	0.17359769796
chr9:22	136407554	137407554	0.589546183878894	0.595658827004
chr9:22	139971095	140971095	0.606097075512953	0.577919040265
chr9:22	144436243	145436243	0.504117455696381	0.425624102043
chr9:22	148671042	149671042	0.635473173720959	0.623172486202
chrX	13303099	14303099	0.446128643909308	0.2397102950895
chrX	21839265	22839265	0.394074090713855	0.2005463176725
chrX	30311838	31311838	0.449240112496354	0.254799770095
chrX	67441761	68441761	0.512983901638912	0.292678932658
chrX	75518026	76518026	0.420708934166068	0.245721148673
chrX	122041455	123041455	0.399339566483526	0.24189831306
chrX	133259360	134259360	0.511661016966044	0.31267557864
chrX	140919366	141919366	0.36829892143397	0.177229820823
