resolution	chrom	start	end	exp1	exp2
100kb	chr1	700000	800000	0.880397975064562	NA
100kb	chr1	800000	900000	0.328709958782987	0.439071265084833
100kb	chr1	900000	1000000	0.897175522908792	0.779219051725324
100kb	chr1	1000000	1100000	0.958774435190095	0.939078145282249
100kb	chr1	1300000	1400000	0.830565579518052	0.916534031749818
100kb	chr1	1400000	1500000	NA	0.825224638445626
100kb	chr1	1500000	1600000	0.430187614372937	0.356907947545375
100kb	chr1	1600000	1700000	0.948978981033333	NA
100kb	chr1	1700000	1800000	0.824887551093705	0.900016971153626
100kb	chr1	1800000	1900000	NA	0.920561240637198
100kb	chr1	1900000	2000000	NA	0.98996408536949
100kb	chr1	2000000	2100000	0.902331925227891	0.822944999701858
100kb	chr1	2200000	2300000	0.704229447076329	0.68452460129256
100kb	chr1	2400000	2500000	0.938734586376152	NA
100kb	chr1	2500000	2600000	0.878961365463221	0.820637840168427
100kb	chr1	2600000	2700000	0.951262164149749	NA
100kb	chr1	2800000	2900000	0.844867541174257	0.885371324254531
100kb	chr1	2900000	3000000	0.757850045321612	0.792048326506649
100kb	chr1	3000000	3100000	0.884665047630449	0.87165221060743
100kb	chr1	3100000	3200000	0.994458791537685	0.945371232518565
100kb	chr1	3300000	3400000	0.804501376750868	0.922579431879165
100kb	chr1	3400000	3500000	0.835927211780199	0.943527339611132
100kb	chr1	3500000	3600000	0.627986523233739	0.514936908589697
100kb	chr1	3600000	3700000	0.620085170426365	0.408477320575918
100kb	chr1	3700000	3800000	0.838958629063981	0.760991115371737
100kb	chr1	3800000	3900000	0.600823485146483	0.750313048982419
100kb	chr1	3900000	4000000	0.747601375040619	0.800070636693469
100kb	chr1	4000000	4100000	0.818803338407073	0.699495910869336
100kb	chr1	4100000	4200000	0.749884558157035	0.78800277042616
100kb	chr1	4200000	4300000	0.753621453370046	0.752689010490008
100kb	chr1	4300000	4400000	0.942779326503737	0.704206552700019
100kb	chr1	4400000	4500000	0.810594140685126	0.758440855529614
100kb	chr1	4500000	4600000	0.625634930136307	0.69844094726558
100kb	chr1	4600000	4700000	0.684155393271878	0.772591128214772
100kb	chr1	4700000	4800000	0.700954319235176	0.722122586770757
100kb	chr1	4800000	4900000	0.693202613261275	0.693560593898641
100kb	chr1	4900000	5000000	0.556442509962204	0.597407541613728
100kb	chr1	5000000	5100000	0.573574934582955	0.624244898333616
100kb	chr1	5100000	5200000	0.585397034427323	0.841737112243541
100kb	chr1	5200000	5300000	0.537351849634862	0.511808712164648
100kb	chr1	5300000	5400000	0.769099211574969	0.826944687799575
100kb	chr1	5400000	5500000	0.679370970224556	0.670218377465978
100kb	chr1	5500000	5600000	0.658775290314857	0.678268208442461
100kb	chr1	5600000	5700000	0.740615005729336	0.563800070636693
100kb	chr1	5700000	5800000	0.629256383506353	0.70838053913227
100kb	chr1	5800000	5900000	0.747272152006978	NA
100kb	chr1	5900000	6000000	0.731584888235193	0.810409280010274
100kb	chr1	6000000	6100000	0.701022729216193	0.665626992390502
100kb	chr1	6100000	6200000	0.799024302645756	0.829600444002073
100kb	chr1	6200000	6300000	0.485928922029724	0.351931271414614
100kb	chr1	6300000	6400000	NA	0.929950416710624
100kb	chr1	6400000	6500000	0.673055873851995	0.868340542251292
100kb	chr1	6500000	6600000	0.839976227531597	0.722136347165588
100kb	chr1	6600000	6700000	0.803706110721554	0.848190737419559
100kb	chr1	6700000	6800000	0.711472353816422	0.799777081603728
100kb	chr1	6800000	6900000	0.645016332882967	0.70487622524849
100kb	chr1	6900000	7000000	0.76282259581673	0.705289037093438
100kb	chr1	7000000	7100000	0.919755092267962	0.925606718742117
100kb	chr1	7100000	7200000	0.781408732534077	0.853506836622832
100kb	chr1	7200000	7300000	0.66167416326042	0.596476421563456
100kb	chr1	7300000	7400000	0.890586786612167	0.82014246595449
100kb	chr1	7400000	7500000	0.745728651810299	0.716994546296848
100kb	chr1	7500000	7600000	0.932470797489354	0.859868725833307
100kb	chr1	7600000	7700000	0.706722135759607	0.798107487030828
100kb	chr1	7700000	7800000	0.749781943185511	0.662021768944624
100kb	chr1	7800000	7900000	0.636845615775342	0.722544572212259
100kb	chr1	7900000	8000000	0.75212926065913	0.738974483641184
100kb	chr1	8000000	8100000	0.507837218450172	0.607755358527087
100kb	chr1	8100000	8200000	0.750196678695422	0.764591752019338
100kb	chr1	8200000	8300000	0.769847445742334	0.749193870202782
100kb	chr1	8300000	8400000	0.6818209026697	0.775925730562296
100kb	chr1	8400000	8500000	0.979639479400045	0.986147869202861
100kb	chr1	8500000	8600000	0.651767542884507	0.740988088084874
100kb	chr1	8600000	8700000	0.719519077833456	0.519005398661572
100kb	chr1	8700000	8800000	0.683710728395273	0.734098717072522
100kb	chr1	8800000	8900000	0.55846915564981	0.59029800428407
100kb	chr1	8900000	9000000	0.859353354654444	0.709701537036103
100kb	chr1	9000000	9100000	0.517192283354141	0.611938518555892
100kb	chr1	9100000	9200000	0.62067520651263	0.648674185957976
100kb	chr1	9300000	9400000	0.786992697234526	0.733163010223973
100kb	chr1	9400000	9500000	0.694245865471772	0.718251329024801
100kb	chr1	9500000	9600000	0.741294829915685	0.676869234967916
100kb	chr1	9600000	9700000	0.608177558105728	0.650857501937922
100kb	chr1	9700000	9800000	0.734073301294659	0.784860813606278
100kb	chr1	9800000	9900000	0.683308819756802	0.665943481471628
100kb	chr1	9900000	10000000	0.662649005489901	0.788232110340019
100kb	chr1	10000000	10100000	0.637615228061774	0.663246444084636
100kb	chr1	10100000	10200000	0.811419336081134	0.939215749230565
100kb	chr1	10200000	10300000	0.499089292127722	0.533256580908828
100kb	chr1	10300000	10400000	0.734163089394743	0.682373392900554
100kb	chr1	10400000	10500000	0.989849669066717	0.792153822867024
100kb	chr1	10500000	10600000	0.671704776726925	0.672736529720159
100kb	chr1	10600000	10700000	0.822031434386277	0.88298160235211
100kb	chr1	10700000	10800000	0.793837970959963	0.789649431007674
100kb	chr1	10800000	10900000	0.863051769253134	0.837737424145824
100kb	chr1	10900000	11000000	0.926224111097809	0.921006160070087
100kb	chr1	11000000	11100000	0.96819791007508	0.865973754340258
100kb	chr1	11100000	11200000	0.662430948675412	0.693826628198718
100kb	chr1	11200000	11300000	0.725821347334576	0.844686423535779
100kb	chr1	11300000	11400000	0.804766465427306	0.810996390189756
100kb	chr1	11400000	11500000	0.793876451574285	0.778531031983744
100kb	chr1	11500000	11600000	0.808233996340066	0.698427186870749
100kb	chr1	11600000	11700000	0.753279403464965	0.846828458331231
100kb	chr1	11700000	11800000	0.845658531579757	0.775104693670677
100kb	chr1	11800000	11900000	0.686878965641087	0.552094561433283
100kb	chr1	11900000	12000000	0.61107643105129	0.655719508111753
100kb	chr1	12000000	12100000	0.727159617588206	0.748606760023301
100kb	chr1	12100000	12200000	0.864796223769048	0.847466023291762
100kb	chr1	12200000	12300000	0.701082587949582	0.694349523202319
100kb	chr1	12300000	12400000	0.513750406184263	0.516322121669411
100kb	chr1	12400000	12500000	0.535688631971404	0.622579890558993
100kb	chr1	12500000	12600000	0.746164765439278	0.638234633079072
100kb	chr1	12600000	12700000	0.783957004326931	0.838489659063284
100kb	chr1	12700000	12800000	0.674257324143593	0.465642587504644
100kb	chr1	12800000	12900000	0.553842930683587	0.493268873528211
100kb	chr1	13100000	13200000	0.768077337483539	NA
100kb	chr1	13700000	13800000	0.595632877836876	0.359458207387497
100kb	chr1	13800000	13900000	0.640556857245472	0.614681423925657
100kb	chr1	13900000	14000000	0.641057105231653	0.566662232761665
100kb	chr1	14000000	14100000	0.630778505583965	0.458308297059404
100kb	chr1	14100000	14200000	0.680328709958783	0.795905823857772
100kb	chr1	14200000	14300000	0.564352414017205	0.436433856075444
100kb	chr1	14300000	14400000	0.481755913187734	0.507244847878835
100kb	chr1	14400000	14500000	0.574660943031588	0.659503616690441
100kb	chr1	14500000	14600000	0.488566981922663	0.501648953980653
100kb	chr1	14600000	14700000	0.542157650801252	0.463229931610838
100kb	chr1	14700000	14800000	0.62894853859178	0.537953462344679
100kb	chr1	14800000	14900000	0.643323185852816	0.709751991817152
100kb	chr1	14900000	15000000	0.557819260830155	0.456849695207254
100kb	chr1	15000000	15100000	0.628050657590942	0.625290688340818
100kb	chr1	15100000	15200000	0.69370713687127	0.726039712499484
100kb	chr1	15200000	15300000	0.695135195224983	0.654311361040653
100kb	chr1	15300000	15400000	0.535167005866156	0.614993326208507
100kb	chr1	15400000	15500000	0.803026286535205	0.826201626478669
100kb	chr1	15500000	15600000	0.707218108121975	0.546012466917718
100kb	chr1	15600000	15700000	0.690671443963674	0.691395625111803
100kb	chr1	15700000	15800000	0.646119443826855	0.655320456661636
100kb	chr1	15800000	15900000	0.926903935284158	0.949201209080026
100kb	chr1	15900000	16000000	0.687212464298541	0.774100184847971
100kb	chr1	16000000	16100000	0.672521420875306	0.668557956489632
100kb	chr1	16100000	16200000	0.982136443707137	0.963268919396194
100kb	chr1	16200000	16300000	0.617263258709446	0.53718288023411
100kb	chr1	16300000	16400000	0.845761146551282	0.829063788603641
100kb	chr1	16400000	16500000	0.926087291135777	0.780072196204883
100kb	chr1	16500000	16600000	0.85822886559149	0.653499497745589
100kb	chr1	16600000	16700000	0.576012040156659	0.558694964154172
100kb	chr1	16700000	16800000	0.771938225787142	0.738369026268593
100kb	chr1	16800000	16900000	0.830155119631954	0.782186710210672
100kb	chr1	17000000	17100000	0.607972328162679	0.894237605324355
100kb	chr1	17200000	17300000	0.820402421713328	0.850314425021902
100kb	chr1	17300000	17400000	0.924791777120282	NA
100kb	chr1	17400000	17500000	NA	0.931239307026517
100kb	chr1	17500000	17600000	NA	0.879610305618369
100kb	chr1	17600000	17700000	0.924334285372236	NA
100kb	chr1	17700000	17800000	0.881214619212944	0.982827027250169
100kb	chr1	17800000	17900000	0.946695797916916	0.951068035978846
100kb	chr1	17900000	18000000	0.749196182723059	0.685327290991069
100kb	chr1	18000000	18100000	0.824849070479383	0.794901315035066
100kb	chr1	18100000	18200000	0.848035778420072	0.887169349179192
100kb	chr1	18200000	18300000	0.937353559884387	0.939046037694308
100kb	chr1	18300000	18400000	0.685237126096698	0.702211295449438
100kb	chr1	18400000	18500000	0.721306288587505	0.698798717531202
100kb	chr1	18500000	18600000	0.98031502796258	0.953558667443364
100kb	chr1	18700000	18800000	0.874997862188094	0.860703523119757
100kb	chr1	18800000	18900000	0.883472148586479	0.963837682382566
100kb	chr1	18900000	19000000	0.741213593063228	0.889866386566185
100kb	chr1	19000000	19100000	0.895525132116776	0.862905186292812
100kb	chr1	19100000	19200000	0.933308819756802	0.974199259690758
100kb	chr1	19200000	19300000	0.906958150194114	0.859685253902219
100kb	chr1	19300000	19400000	0.885618511740863	NA
100kb	chr1	19400000	19500000	0.802295154863095	NA
100kb	chr1	19500000	19600000	0.937999179080228	0.912048143034718
100kb	chr1	19600000	19700000	0.7780309897214	0.932074104312966
100kb	chr1	19700000	19800000	0.713054334627423	0.700761867193843
100kb	chr1	19800000	19900000	0.605543773836603	0.45882201846645
100kb	chr1	19900000	20000000	0.709197721947632	0.767472261337419
100kb	chr1	20000000	20100000	0.602721862119683	0.678525069145984
100kb	chr1	20100000	20200000	0.852118999161978	0.60999371608636
100kb	chr1	20200000	20300000	0.505417215371723	0.725814959383901
100kb	chr1	20300000	20400000	0.704520189495647	0.822504667067247
100kb	chr1	20400000	20500000	0.889034735167861	0.958113358132623
100kb	chr1	20500000	20600000	0.652139522156282	0.848874170362862
100kb	chr1	20600000	20700000	0.900040190863847	0.92425820004862
100kb	chr1	20700000	20800000	0.91806194523781	0.935665567364013
100kb	chr1	20800000	20900000	0.793029878059209	0.804694129356885
100kb	chr1	20900000	21000000	0.743099143164988	0.918547636193508
100kb	chr1	21000000	21100000	0.79722854064408	0.866863593206034
100kb	chr1	21100000	21200000	0.639274170101418	0.472908075975727
100kb	chr1	21200000	21300000	0.612675514357545	0.632074562992794
100kb	chr1	21300000	21400000	0.62099160267483	0.50314425021902
100kb	chr1	21400000	21500000	NA	0.93396845200145
100kb	chr1	21500000	21600000	0.821248995228404	0.889568244678167
100kb	chr1	21600000	21700000	0.866386755827675	0.619648926459863
100kb	chr1	21700000	21800000	NA	0.697840076691267
100kb	chr1	21800000	21900000	0.80864018060235	0.830036189838407
100kb	chr1	21900000	22000000	0.976475517778044	NA
100kb	chr1	22000000	22100000	0.617374424928597	0.758670195443474
100kb	chr1	22200000	22300000	0.636978160113561	0.665282982519712
