chrom	size	gpseq_score
chr1	249250621	1.29425318564102
chr10	135534747	1.27781161518584
chr11	135006516	1.22652579281903
chr12	133851895	1.27917021527467
chr13	115169878	1.18026312807221
chr14	107349540	1.38718699202806
chr15	102531392	1.46931919923397
chr16	90354753	1.65945344806368
chr17	81195210	1.8144062173305
chr18	78077248	1.24843090875551
chr19	59128983	2.0198427029631
chr2	243199373	1.22228352877257
chr20	63025520	1.55594306448573
chr21	48129895	1.50221009139718
chr22:9	31164495	2.2350469892331
chr3	198022430	1.19538439958398
chr4	191154276	1.13826130800791
chr5	180915260	1.19825020232908
chr6	171115067	1.17908332405246
chr7	159138663	1.23640503003147
chr8	146364022	1.21050152726245
chr9:22	161353502	1.23762391829307
chrX	155270560	1.2088155937751
