chrom	start	end	comp	layer	variable	value
chr1	700001	8e+05	A1	9	expression	380.833333333333
chr1	800001	9e+05	A1	9	expression	2750.33333333333
chr1	900001	1e+06	A1	10	expression	1729.33333333333
chr1	1000001	1100000	A1	10	expression	348
chr1	1100001	1200000	A1	10	expression	1576
chr1	1200001	1300000	A1	10	expression	2845.16666666667
chr1	1300001	1400000	A1	10	expression	3006
chr1	1400001	1500000	A1	10	expression	2289.16666666667
chr1	1500001	1600000	A1	8	expression	1185.33333333333
chr1	1600001	1700000	A1	10	expression	1779.5
chr1	1700001	1800000	A1	9	expression	1939.66666666667
chr1	1800001	1900000	A1	10	expression	162.833333333333
chr1	1900001	2e+06	A1	10	expression	76
chr1	2000001	2100000	A1	10	expression	163.333333333333
chr1	2100001	2200000	A1	10	expression	808
chr1	2200001	2300000	A1	10	expression	821.833333333333
chr1	2300001	2400000	B1	10	expression	1457.33333333333
chr1	2400001	2500000	B1	10	expression	532.666666666667
chr1	2500001	2600000	B1	10	expression	539
chr1	2700001	2800000	B1	10	expression	1.33333333333333
chr1	2800001	2900000	B1	10	expression	0
chr1	2900001	3e+06	B1	9	expression	10.3333333333333
chr1	3000001	3100000	B1	10	expression	6.5
chr1	3100001	3200000	B1	10	expression	12.5
chr1	3200001	3300000	B1	10	expression	4
chr1	3300001	3400000	B1	9	expression	161.666666666667
chr1	3400001	3500000	B1	10	expression	68.3333333333334
chr1	3500001	3600000	B1	8	expression	800.333333333333
chr1	3600001	3700000	A1	7	expression	1655.83333333333
chr1	3700001	3800000	A1	8	expression	1195
chr1	4000001	4100000	B1	7	expression	0.833333333333333
chr1	4100001	4200000	B1	8	expression	0.666666666666667
chr1	4200001	4300000	B1	7	expression	1.33333333333333
chr1	4300001	4400000	B1	8	expression	0
chr1	4400001	4500000	B2	8	expression	0.166666666666667
chr1	4500001	4600000	B1	7	expression	0.333333333333333
chr1	4600001	4700000	B2	8	expression	0.166666666666667
chr1	4700001	4800000	B1	7	expression	0
chr1	4800001	4900000	B2	7	expression	0.166666666666667
chr1	4900001	5e+06	B2	6	expression	0.166666666666667
chr1	5000001	5100000	B2	6	expression	0
chr1	5100001	5200000	B1	7	expression	4
chr1	5200001	5300000	B1	6	expression	0
chr1	5300001	5400000	B2	7	expression	0.666666666666667
chr1	5400001	5500000	B1	7	expression	1.16666666666667
chr1	5500001	5600000	B1	7	expression	0
chr1	5600001	5700000	B1	7	expression	0.5
chr1	5700001	5800000	B1	8	expression	1.16666666666667
chr1	5800001	5900000	B1	8	expression	0.333333333333333
chr1	5900001	6e+06	B1	8	expression	262
chr1	6000001	6100000	B1	7	expression	111.5
chr1	6100001	6200000	B1	9	expression	88.8333333333334
chr1	6200001	6300000	A1	6	expression	2768.5
chr1	6300001	6400000	A1	10	expression	913.5
chr1	6400001	6500000	A1	9	expression	131.833333333333
chr1	6500001	6600000	A1	9	expression	1213.66666666667
chr1	6600001	6700000	A1	9	expression	2702.66666666667
