chrom	start	end	comp	GPSeq
chr1	1000001	2000000	A	1
chr1	2000001	3000000	A	1
chr1	3000001	4000000	A	0.883261262038973
chr1	4000001	5000000	A	0.694157734422516
chr1	5000001	6000000	A	0.650000388071943
chr1	6000001	7000000	A	0.766679479683046
chr1	7000001	8000000	A	0.734584340888262
chr1	8000001	9000000	A	0.682780590539439
chr1	9000001	10000000	A	0.7549492556173
chr1	10000001	11000000	A	0.770672504560149
chr1	11000001	12000000	A	0.810200528635955
chr1	12000001	13000000	A	0.618403662607114
chr1	13000001	14000000	A	0.531311599045209
chr1	14000001	15000000	A	0.493047889224539
chr1	15000001	16000000	A	0.655239763731589
chr1	16000001	17000000	A	0.777449987181369
chr1	17000001	18000000	A	0.909547068985279
chr1	18000001	19000000	A	0.889922297858781
chr1	19000001	20000000	A	0.851444929857474
chr1	20000001	21000000	A	0.823887343206432
chr1	21000001	22000000	A	0.770225322068878
chr1	22000001	23000000	A	0.881130541478131
chr1	23000001	24000000	A	0.796402310433106
chr1	24000001	25000000	A	0.828977171794334
chr1	25000001	26000000	A	0.831936013732388
chr1	26000001	27000000	A	0.849120259694609
chr1	27000001	28000000	A	0.844554347991702
chr1	28000001	29000000	A	0.770911216867527
chr1	29000001	30000000	A	0.739651327583426
chr1	30000001	31000000	A	0.786270468726849
chr1	31000001	32000000	A	0.796033142707678
chr1	32000001	33000000	A	0.815504107339123
chr1	33000001	34000000	A	0.645068369410866
chr1	34000001	35000000	A	0.663512110977031
chr1	35000001	36000000	A	0.614630344681814
chr1	36000001	37000000	A	0.656765500060024
chr1	37000001	38000000	A	0.834092520269053
chr1	38000001	39000000	A	0.673680579488669
chr1	39000001	40000000	A	0.653902045698916
chr1	40000001	41000000	A	0.703208269989787
chr1	41000001	42000000	A	0.771267390667426
chr1	42000001	43000000	A	0.659063117307992
chr1	43000001	44000000	A	0.80942550207734
chr1	44000001	45000000	A	0.789012622710059
chr1	45000001	46000000	A	0.714425670768072
chr1	46000001	47000000	A	0.639107643744614
chr1	47000001	48000000	A	0.470724275984607
chr1	48000001	49000000	B	0.451959615646048
chr1	49000001	50000000	B	0.328093882479501
chr1	50000001	51000000	B	0.302166469805198
chr1	51000001	52000000	A	0.388338609956016
chr1	52000001	53000000	A	0.516316266931236
chr1	53000001	54000000	A	0.682647366028139
chr1	54000001	55000000	A	0.700355369917432
chr1	55000001	56000000	B	0.478611130602031
chr1	56000001	57000000	B	0.325447865146065
chr1	57000001	58000000	B	0.283892658029733
chr1	58000001	59000000	B	0.326536338717902
chr1	59000001	60000000	B	0.3137669551013
chr1	60000001	61000000	B	0.307423074397239
chr1	61000001	62000000	A	0.244000464615918
chr1	62000001	63000000	A	0.403042283426501
chr1	63000001	64000000	B	0.341226099021323
chr1	64000001	65000000	B	0.327156409030797
chr1	65000001	66000000	B	0.306821205739881
chr1	66000001	67000000	B	0.315553418464793
chr1	67000001	68000000	B	0.30743667141301
chr1	68000001	69000000	B	0.30342045037491
chr1	69000001	70000000	B	0.193159605183415
chr1	70000001	71000000	B	0.214102503184169
chr1	71000001	72000000	B	0.206258369433041
chr1	72000001	73000000	B	0.154881521804882
chr1	73000001	74000000	B	0.176116308513707
chr1	74000001	75000000	B	0.242353232150905
chr1	75000001	76000000	B	0.220534192771262
chr1	76000001	77000000	B	0.241940661256484
chr1	77000001	78000000	B	0.259699698301812
chr1	78000001	79000000	B	0.274142099708763
chr1	79000001	80000000	B	0.339089995955587
chr1	80000001	81000000	B	0.27720482810791
chr1	81000001	82000000	B	0.239984003847518
chr1	82000001	83000000	B	0.25386865268358
chr1	83000001	84000000	B	0.315277592396663
chr1	84000001	85000000	B	0.297039158282554
chr1	85000001	86000000	A	0.337435382950242
chr1	86000001	87000000	B	0.333535940507746
chr1	87000001	88000000	B	0.37254575380201
chr1	88000001	89000000	A	0.330093037429364
chr1	89000001	90000000	B	0.367034117668243
chr1	90000001	91000000	B	0.325863631031858
chr1	91000001	92000000	B	0.354345693000573
chr1	92000001	93000000	B	0.433020686846423
chr1	93000001	94000000	A	0.472152913016362
chr1	94000001	95000000	A	0.498667587308068
chr1	95000001	96000000	B	0.424675944374724
chr1	96000001	97000000	B	0.279692754033163
chr1	97000001	98000000	B	0.259142097635533
chr1	98000001	99000000	B	0.289933779903986
chr1	99000001	100000000	B	0.224709129502056
chr1	100000001	101000000	A	0.312584671008617
chr1	101000001	102000000	B	0.319538477217571
chr1	102000001	103000000	B	0.315743101339315
chr1	103000001	104000000	B	0.324166896059328
chr1	104000001	105000000	B	0.393774180992514
chr1	105000001	106000000	B	0.460420278611179
chr1	106000001	107000000	B	0.387920946030084
chr1	107000001	108000000	B	0.32145526240719
chr1	108000001	109000000	B	0.307066268433274
chr1	109000001	110000000	A	0.427562605844179
chr1	110000001	111000000	A	0.661726013347482
chr1	111000001	112000000	A	0.559124865851792
chr1	112000001	113000000	A	0.617025375282661
chr1	113000001	114000000	A	0.5663086655939
chr1	114000001	115000000	A	0.593451572433187
chr1	115000001	116000000	A	0.554035940623771
chr1	116000001	117000000	A	0.490777920445154
chr1	117000001	118000000	B	0.517241789907637
chr1	118000001	119000000	B	0.475359376764124
chr1	119000001	120000000	A	0.444798826631382
chr1	151000001	152000000	A	0.717009608027364
chr1	152000001	153000000	A	0.64950034045521
chr1	153000001	154000000	A	0.747318936200517
chr1	154000001	155000000	A	0.811487294969907
chr1	155000001	156000000	A	0.920338945306651
chr1	156000001	157000000	A	0.816629945916849
chr1	157000001	158000000	B	0.438008562511167
chr1	158000001	159000000	B	0.394165608532415
chr1	159000001	160000000	B	0.422584072410605
chr1	160000001	161000000	A	0.536381328499972
chr1	161000001	162000000	A	0.490539234597615
chr1	162000001	163000000	A	0.401034536502666
chr1	163000001	164000000	B	0.272808372947113
chr1	164000001	165000000	B	0.259023299032824
chr1	165000001	166000000	B	0.31081985329849
chr1	166000001	167000000	B	0.4051766971364
chr1	167000001	168000000	A	0.394759447647218
chr1	168000001	169000000	B	0.32256335430973
chr1	169000001	170000000	B	0.261997923875302
chr1	170000001	171000000	B	0.222406056266425
chr1	171000001	172000000	B	0.303577319857879
chr1	172000001	173000000	B	0.236273972094598
chr1	173000001	174000000	B	0.329513862067003
chr1	174000001	175000000	B	0.302107419474511
chr1	175000001	176000000	B	0.381554735861684
chr1	176000001	177000000	B	0.31965825154267
chr1	177000001	178000000	B	0.333372120055612
chr1	178000001	179000000	B	0.376723786217506
chr1	179000001	180000000	A	0.37850967162977
chr1	180000001	181000000	A	0.411297815940441
chr1	181000001	182000000	B	0.401148510995713
chr1	182000001	183000000	B	0.372232683982178
chr1	183000001	184000000	A	0.374559355847504
chr1	184000001	185000000	B	0.228186111158854
chr1	185000001	186000000	B	0.184957206310217
chr1	186000001	187000000	B	0.10177693128781
chr1	187000001	188000000	B	0.122069573338254
chr1	188000001	189000000	B	0.135988869361261
chr1	189000001	190000000	B	0.123274149445608
chr1	190000001	191000000	B	0.0969822962710035
chr1	191000001	192000000	B	0.16499732760086
chr1	192000001	193000000	B	0.11286176358817
chr1	193000001	194000000	B	0.112091508748964
chr1	194000001	195000000	B	0.154667612847313
chr1	195000001	196000000	B	0.139554258513558
chr1	196000001	197000000	B	0.0954192514855648
chr1	197000001	198000000	B	0.0992938930134945
chr1	198000001	199000000	B	0.109306513428668
chr1	199000001	200000000	B	0.170668825397941
chr1	200000001	201000000	A	0.349420615977119
chr1	201000001	202000000	A	0.631546531920763
chr1	202000001	203000000	A	0.667543166125717
chr1	203000001	204000000	A	0.676819880425846
chr1	204000001	205000000	A	0.660702874957048
chr1	205000001	206000000	A	0.581716864999293
chr1	206000001	207000000	A	0.453702778096014
chr1	207000001	208000000	B	0.308335310999774
chr1	208000001	209000000	B	0.323396965748585
chr1	209000001	210000000	B	0.242435970812374
chr1	210000001	211000000	B	0.230376526710688
chr1	211000001	212000000	A	0.319571040352013
chr1	212000001	213000000	A	0.423565330885629
chr1	213000001	214000000	B	0.269886659098095
chr1	214000001	215000000	B	0.194901858227131
chr1	215000001	216000000	B	0.142159811356788
chr1	216000001	217000000	B	0.0591628190866526
chr1	217000001	218000000	B	0.132729110051964
chr1	218000001	219000000	B	0.096267173361921
chr1	219000001	220000000	B	0.10028948120206
chr1	220000001	221000000	B	0.17979259090434
