chrom	start	end	gpseq_score
chr1	1e+05	1100000	0.969531494834912
chr1	2e+05	1200000	1
chr1	3e+05	1300000	1
chr1	4e+05	1400000	1
chr1	5e+05	1500000	1
chr1	6e+05	1600000	1
chr1	7e+05	1700000	1
chr1	8e+05	1800000	0.969008194006938
chr1	9e+05	1900000	1
chr1	1e+06	2e+06	1
chr1	1100000	2100000	1
chr1	1200000	2200000	1
chr1	1300000	2300000	0.972600721781223
chr1	1400000	2400000	0.993506627915664
chr1	1500000	2500000	0.998071171204156
chr1	1600000	2600000	1
chr1	1700000	2700000	1
chr1	1800000	2800000	1
chr1	1900000	2900000	1
chr1	2e+06	3e+06	1
chr1	2100000	3100000	1
chr1	2200000	3200000	1
chr1	2300000	3300000	1
chr1	2400000	3400000	1
chr1	2500000	3500000	1
chr1	2600000	3600000	0.99513361483606
chr1	2700000	3700000	0.964750753782179
chr1	2800000	3800000	0.918738914887701
chr1	2900000	3900000	0.89116226997715
chr1	3e+06	4e+06	0.890569512834657
chr1	3100000	4100000	0.851014194254233
chr1	3200000	4200000	0.826493562223795
chr1	3300000	4300000	0.77379130832815
chr1	3400000	4400000	0.750989872908096
chr1	3500000	4500000	0.726072824262421
chr1	3600000	4600000	0.720891792219375
chr1	3700000	4700000	0.740540609646994
chr1	3800000	4800000	0.737908417848202
chr1	3900000	4900000	0.742820447023105
chr1	4e+06	5e+06	0.730071972625245
chr1	4100000	5100000	0.712627100649507
chr1	4200000	5200000	0.705721665874723
chr1	4300000	5300000	0.688337176595697
chr1	4400000	5400000	0.692236746523006
chr1	4500000	5500000	0.686593816064735
chr1	4600000	5600000	0.686077053441831
chr1	4700000	5700000	0.67411776344715
chr1	4800000	5800000	0.681453073313706
chr1	4900000	5900000	0.690606495638875
chr1	5e+06	6e+06	0.707701448508457
chr1	5100000	6100000	0.718759472958195
chr1	5200000	6200000	0.729700461584368
chr1	5300000	6300000	0.723598815880373
chr1	5400000	6400000	0.7488692893463
chr1	5500000	6500000	0.756742622206727
chr1	5600000	6600000	0.770362651433142
chr1	5700000	6700000	0.791867216187679
chr1	5800000	6800000	0.795585580534461
chr1	5900000	6900000	0.774439263160942
chr1	6e+06	7e+06	0.769469219645801
chr1	6100000	7100000	0.787305312179964
chr1	6200000	7200000	0.782464160347166
chr1	6300000	7300000	0.800428099459192
chr1	6400000	7400000	0.7751883576038
chr1	6500000	7500000	0.773739980331827
chr1	6600000	7600000	0.782654346709042
chr1	6700000	7700000	0.776609573879698
chr1	6800000	7800000	0.764923463000973
chr1	6900000	7900000	0.768922518075358
chr1	7e+06	8e+06	0.778257831775088
chr1	7100000	8100000	0.752196371810139
chr1	7200000	8200000	0.738403697980656
chr1	7300000	8300000	0.754209206276785
chr1	7400000	8400000	0.749931447675472
chr1	7500000	8500000	0.765613637886246
chr1	7600000	8600000	0.74068577222505
chr1	7700000	8700000	0.725518518341396
chr1	7800000	8800000	0.723590139053473
chr1	7900000	8900000	0.713269069252853
chr1	8e+06	9e+06	0.714996459035575
chr1	8100000	9100000	0.710327827387696
chr1	8200000	9200000	0.704503948656931
chr1	8300000	9300000	0.734116943845008
chr1	8400000	9400000	0.739505814792856
chr1	8500000	9500000	0.725107134416935
chr1	8600000	9600000	0.735463798359324
chr1	8700000	9700000	0.735917823521026
chr1	8800000	9800000	0.766106266649437
chr1	8900000	9900000	0.78378119183595
